13E 6 7FB 1 2 7FE 1 7FF 1 7FD 0 7FE 0 7FF 7FF 0 
141 7FE 7FE 7FF 7FE 0 0 7FF 7FF 0 1 0 0 7FF 7FF 7FF 
143 7FF 7FE 7FF 7FF 0 7FF 0 7FF 0 0 7FF 7FF 7FF 0 0 
145 7FD 7FF 0 7FE 0 0 0 7FF 7FF 7FF 0 7FF 7FF 7FF 7FF 
14A 0 7FE 0 7FF 0 0 0 7FF 0 7FF 7FF 7FF 7FF 0 7FF 
14C 7FF 7FE 7FF 7FE 0 7FF 1 0 0 0 7FF 7FF 7FF 7FF 7FF 
14D 7FE 7FF 0 7FE 7FF 0 1 0 0 0 7FF 7FF 7FF 7FF 0 
14F 7FF 0 0 7FE 0 0 0 7FF 0 7FF 7FF 7FF 7FF 7FF 7FF 
14F 7FF 7FF 7FF 7FF 0 0 0 7FF 0 7FF 7FF 7FF 7FF 7FF 7FF 
151 0 7FF 0 7FF 0 7FF 7FF 0 0 0 7FF 7FF 7FF 7FF 7FF 
154 0 7FF 7FF 7FE 0 7FF 1 7FF 0 7FF 7FF 7FF 7FF 7FF 7FF 
155 0 7FE 7FE 7FF 0 0 1 1 0 7FF 7FF 7FF 7FF 0 0 
155 1 7FF 0 7FF 0 0 0 7FE 0 0 0 0 0 0 0 
157 1 7FD 7FE 7FF 7FF 0 0 0 0 0 0 7FF 7FF 7FF 0 
158 1 7FB 7FE 7FF 7FE 7FD 0 1 0 7FE 7FF 0 7FE 0 0 
156 1 2 3 7FE 7FB 7FC 7FF 0 7FF 7FF 0 0 7FF 0 0 
157 0 7FE 0 7FC 7F9 7FA 7FF 2 0 7FE 0 0 7FF 7FF 0 
143 7F8 4 6 7F6 B 7F5 4 0 7FF 1 7FE 2 7FB 4 7FC 
144 7F7 9 7FE 7FC 4 7FA 5 7FA 4 7FB 3 7FE 1 7FF 7FF 
148 7F6 B 7F9 4 7FC 7FF 1 7FE 4 7FA 4 7FA 3 7FC 1 
147 7F6 B 7F6 9 7F6 5 7FA 5 7FC 3 7FF 7FF 0 7FD 0 
144 7FE 6 7FA 7 7F8 4 7FA 5 7FA 5 7FC 3 7FD 0 7FF 
141 5 7FF 0 0 7FE 7FF 7FF 7FF 0 1 7FD 2 7FF 0 0 
142 6 7FF 2 7FE 0 7FE 7FF 7FF 0 0 0 7FF 7FF 7FF 0 
143 4 1 1 7FE 7FF 7FF 7FF 7FF 0 0 7FF 0 0 7FF 7FF 
143 5 1 1 7FF 7FF 0 0 0 7FF 0 0 0 0 7FF 7FE 
146 5 7FE 2 7FF 0 7FF 7FF 0 0 0 0 0 0 7FF 0 
147 4 7FF 1 0 7FF 0 7FF 0 7FF 0 7FF 0 0 7FF 7FF 
14A 3 7FF 7FF 0 7FF 0 7FF 1 7FF 1 7FF 0 7FF 7FF 7FF 
14A 3 7FF 0 0 7FF 0 0 0 7FF 0 7FF 0 0 0 0 
14B 3 7FF 1 0 0 0 0 7FF 0 0 7FF 7FF 7FF 7FF 0 
14E 2 7FE 0 7FF 0 0 7FF 1 0 7FF 0 0 0 0 0 
150 3 7FF 0 7FF 1 7FF 7FE 0 0 0 7FF 0 7FF 7FF 0 
170 7BA 17 5 7FB 2 4 4 2 7FD 7FD 1 7FE 1 3 1 
170 7B8 15 3 7FA 7FF 2 2 2 1 1 3 0 7FE 0 7FF 
171 7B9 16 4 7FA 7FF 0 1 0 7FF 7FD 7FF 7FA 7FA 7FE 7FD 
175 7BA 16 5 7FB 0 1 1 7FF 0 0 2 7FE 7FD 0 7FE 
17D 7C2 1D A 1 5 6 6 5 6 6 8 3 1 2 7FF 
181 7C9 21 10 6 8 A 8 6 4 3 3 7FE 7FD 7FF 7FE 
17E 7C7 20 B 7FF 0 0 7FE 7FC 7FA 7F9 7FA 7F8 7F9 7FD 7FE 
182 7C8 1F 6 7F9 7FA 7F9 7F8 7F8 7F9 7F9 7FD 7FD 7FF 3 1 
184 7CA 1E 2 7F1 7F4 7F3 7F8 7FB 7FF 2 7 4 4 6 2 
